Wavelength,Power (mW),Current (uA),EQE - Uncorrected
844,0.231,-3.6770406,-2.3
847,0.23,-3.6091946,-2.3
850,0.23,-3.5502838,-2.3
853,0.23,-3.4931916,-2.2
856,0.232,-3.4227578,-2.1
859,0.235,-3.3621884,-2.1
862,0.238,-3.3095936,-2.0
865,0.243,-3.2640134,-1.9
868,0.249,-3.2660986,-1.9
871,0.289,-3.2364902,-1.6
874,0.371,-3.1405982,-1.2
877,0.373,-3.0608526,-1.2
880,0.298,-2.9854574,-1.4
883,0.279,-2.9061272,-1.5
886,0.288,-2.8395524,-1.4
889,0.304,-2.8429312,-1.3
892,0.286,-3.0666184,-1.5
895,0.289,-3.0486522,-1.5
898,0.302,-2.82641,-1.3
901,0.268,-2.656047,-1.4
904,0.264,-2.590251,-1.3
907,0.322,-2.6262552,-1.1
910,0.333,-2.6026052,-1.1
913,0.285,-2.550787,-1.2
916,0.264,-2.6535418,-1.4
919,0.248,-2.7061536,-1.5
922,0.242,-2.5837162,-1.4
925,0.244,-2.7350234,-1.5
928,0.254,-3.0165322,-1.6
931,0.266,-2.817637,-1.4
934,0.268,-2.6231258,-1.3
937,0.266,-2.7922744,-1.4
940,0.268,-2.8165098,-1.4
943,0.271,-2.5199134,-1.2
946,0.263,-2.440291,-1.2
949,0.249,-2.4644238,-1.3
952,0.241,-2.6644214,-1.4
955,0.238,-2.8140048,-1.5
958,0.243,-2.7628348,-1.5
961,0.25,-2.6269054,-1.4
964,0.254,-2.4777564,-1.3
967,0.268,-2.4130528,-1.2
970,0.322,-2.384507,-0.9
973,0.309,-2.4733718,-1.0
976,0.255,-2.5831162,-1.3
979,0.261,-2.3955762,-1.2
982,0.321,-2.1874974,-0.9
985,0.319,-2.0592184,-0.8
988,0.264,-1.9544108,-0.9
991,0.25,-1.8680324,-0.9
994,0.242,-1.7977,-0.9
997,0.239,-1.7312252,-0.9
1000,0.243,-1.6467568,-0.8
1003,0.247,-1.5630674,-0.8
1006,0.244,-1.4874362,-0.8
1009,0.236,-1.4118908,-0.7
1012,0.232,-1.3451622,-0.7
1015,0.229,-1.2834962,-0.7
1018,0.228,-1.2255064,-0.7
1021,0.228,-1.1665198,-0.6
1024,0.228,-1.1109412,-0.6
1027,0.227,-1.0601688,-0.6
1030,0.226,-1.0157696,-0.5
1033,0.227,-0.99023564,-0.5
1036,0.228,-0.94766862,-0.5
1039,0.23,-0.9085186,-0.5
1042,0.233,-0.87382666,-0.4
1045,0.232,-0.83891698,-0.4
1048,0.23,-0.80936144,-0.4
