[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	R	RM	RG
-5.000435	-3.96966e-007	12596632.961009	12.596632961009	0.012596632961009
-4.750214	-3.764437e-007	12618657.185656	12.618657185656	0.012618657185656
-4.500051	-3.549137e-007	12679282.315673	12.679282315673	0.012679282315673
-4.249814	-3.31296e-007	12827845.79349	12.82784579349	0.01282784579349
-3.99953	-3.092987e-007	12930962.852414	12.930962852414	0.012930962852414
-3.749698	-2.868633e-007	13071375.808617	13.071375808617	0.013071375808617
-3.499917	-2.639628e-007	13259129.695548	13.259129695548	0.013259129695548
-3.249878	-2.401742e-007	13531336.838012	13.531336838012	0.013531336838012
-3.000073	-2.197726e-007	13650805.423424	13.650805423424	0.013650805423424
-2.750274	-1.937557e-007	14194544.986289	14.194544986289	0.014194544986289
-2.500201	-1.70402e-007	14672368.86891	14.67236886891	0.01467236886891
-2.249974	-1.476995e-007	15233457.120708	15.233457120708	0.015233457120708
-1.999673	-1.262477e-007	15839282.616634	15.839282616634	0.015839282616634
-1.74952	-1.053599e-007	16605179.010231	16.605179010231	0.016605179010231
-1.499275	-8.44107e-008	17761670.025246	17.761670025246	0.017761670025246
-1.249049	-6.37908e-008	19580394.038012	19.580394038012	0.019580394038012
-0.999217	-4.617601e-008	21639310.109297	21.639310109297	0.021639310109297
-0.749421	-2.876283e-008	26055189.979567	26.055189979567	0.026055189979567
-0.4997	-1.16993e-008	42711957.12564	42.71195712564	0.04271195712564
-0.249923	-2.071037e-009	120675294.55051	120.67529455051	0.12067529455051
-8.377602e-005	1.458051e-009	-57457.537493544	-0.057457537493544	-5.7457537493544e-005
0.250592	9.984473e-009	25098169.928448	25.098169928448	0.025098169928448
0.500351	2.61782e-008	19113269.819927	19.113269819927	0.019113269819927
0.750038	4.698188e-008	15964410.108748	15.964410108748	0.015964410108748
0.999774	6.706428e-008	14907697.510508	14.907697510508	0.014907697510508
1.249568	8.733028e-008	14308530.786802	14.308530786802	0.014308530786802
1.500098	1.093206e-007	13722006.648335	13.722006648335	0.013722006648335
1.75031	1.277834e-007	13697475.571944	13.697475571944	0.013697475571944
2.000463	1.480782e-007	13509503.762201	13.509503762201	0.013509503762201
2.250712	1.638092e-007	13739838.788053	13.739838788053	0.013739838788053
2.500872	1.811226e-007	13807619.811111	13.807619811111	0.013807619811111
2.750903	1.982055e-007	13879044.728829	13.879044728829	0.013879044728829
3.00065	2.178853e-007	13771695.474637	13.771695474637	0.013771695474637
3.250764	2.404142e-007	13521514.120214	13.521514120214	0.013521514120214
3.500454	2.656938e-007	13174767.344966	13.174767344966	0.013174767344966
3.750205	2.89276e-007	12964106.94285	12.96410694285	0.01296410694285
3.999986	3.111035e-007	12857412.404553	12.857412404553	0.012857412404553
4.250247	3.358841e-007	12653909.488422	12.653909488422	0.012653909488422
4.500438	3.612853e-007	12456742.635253	12.456742635253	0.012456742635253
4.750574	3.860883e-007	12304371.823751	12.304371823751	0.012304371823751
5.000763	4.131162e-007	12104979.180192	12.104979180192	0.012104979180192

