[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	R	RM	RG
-5.00045	-3.795901e-007	13173288.765961	13.173288765961	0.013173288765961
-4.750216	-3.562936e-007	13332307.961748	13.332307961748	0.013332307961748
-4.500042	-3.356397e-007	13407359.141365	13.407359141365	0.013407359141365
-4.249804	-3.111417e-007	13658741.338753	13.658741338753	0.013658741338753
-3.999506	-2.915395e-007	13718573.297958	13.718573297958	0.013718573297958
-3.749706	-2.688088e-007	13949342.432242	13.949342432242	0.013949342432242
-3.499926	-2.485929e-007	14078945.939325	14.078945939325	0.014078945939325
-3.24988	-2.244304e-007	14480569.477219	14.480569477219	0.014480569477219
-3.000062	-2.033502e-007	14753179.490357	14.753179490357	0.014753179490357
-2.750292	-1.818867e-007	15120907.685939	15.120907685939	0.015120907685939
-2.500228	-1.619831e-007	15435116.379425	15.435116379425	0.015435116379425
-2.249974	-1.38975e-007	16189775.139414	16.189775139414	0.016189775139414
-1.999684	-1.202168e-007	16633981.273832	16.633981273832	0.016633981273832
-1.749531	-9.869015e-008	17727513.840034	17.727513840034	0.017727513840034
-1.499277	-7.909118e-008	18956310.931257	18.956310931257	0.018956310931257
-1.249047	-5.873631e-008	21265329.742369	21.265329742369	0.021265329742369
-0.999216	-3.950153e-008	25295627.789607	25.295627789607	0.025295627789607
-0.749432	-2.437337e-008	30747984.378032	30.747984378032	0.030747984378032
-0.499706	-7.240329e-009	69017029.474766	69.017029474766	0.069017029474766
-0.24993	-6.201808e-010	402995384.57172	402.99538457172	0.40299538457172
-0.000106	1.112761e-009	-95258.550578246	-0.095258550578246	-9.5258550578246e-005
0.250623	1.102825e-008	22725545.757486	22.725545757486	0.022725545757486
0.500372	2.721139e-008	18388329.298871	18.388329298871	0.018388329298871
0.750073	5.050895e-008	14850298.808429	14.850298808429	0.014850298808429
0.999799	7.064641e-008	14152155.785411	14.152155785411	0.014152155785411
1.249584	8.883817e-008	14065845.795788	14.065845795788	0.014065845795788
1.500126	1.111946e-007	13490996.864956	13.490996864956	0.013490996864956
1.750335	1.340629e-007	13056072.932929	13.056072932929	0.013056072932929
2.000477	1.558065e-007	12839496.426657	12.839496426657	0.012839496426657
2.250737	1.799255e-007	12509271.893089	12.509271893089	0.012509271893089
2.500912	2.048148e-007	12210601.968217	12.210601968217	0.012210601968217
2.75094	2.245377e-007	12251572.898449	12.251572898449	0.012251572898449
3.000679	2.466343e-007	12166511.308443	12.166511308443	0.012166511308443
3.250804	2.724334e-007	11932472.303323	11.932472303323	0.011932472303323
3.500494	2.95405e-007	11849812.968636	11.849812968636	0.011849812968636
3.750227	3.18819e-007	11762871.723454	11.762871723454	0.011762871723454
4.000007	3.420332e-007	11694791.61672	11.69479161672	0.01169479161672
4.250284	3.662475e-007	11604950.204438	11.604950204438	0.011604950204438
4.500478	3.900031e-007	11539595.454498	11.539595454498	0.011539595454498
4.750598	4.149161e-007	11449538.834478	11.449538834478	0.011449538834478
5.000807	4.387123e-007	11398830.167287	11.398830167287	0.011398830167287

